INV_NO;DEPTO;OFICINA_NO;AUXILIAR;PARTIDA_NO;COD_ENTIDAD;COD_ANTIGUO;SERIE;DESCRIPCION;ESTADO;GEOGRAFICA;ESPECIFICA;EMP_NO;PROCEDENCIA;FECHA_INGRESO;OBSERVACIONES
AF-01;LA PAZ;OF-11;SILLA;PART-01;20301040127;SIN CODIGO;-;SILLON GIRATORIO SEMI EJECUTIVO CON APOYA BRAZOS Y TAPIZ DE TELA C. NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-02;LA PAZ;OF-11;ESCRITORIO;PART-01;21001010002;SIN CODIGO;-;"ESCRITORIO EN ""L"" CON UNA CAJONERA DE 3 CAJONES C. PLOMO";BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-03;LA PAZ;OF-11;CAMARA FOTOGRAFICA;PART-03;21010100002;CNE FCD 1426;CAM02290;CAMARA DIGITAL MARCA CANON MOD. SX110IS;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-04;LA PAZ;OF-11;ESTABILIZADOR;PART-03;21010100002;CNE-FRG 1426;-;REGULADOR DE VOLTAJE MARCA OMEGA MOD. PCG-1200;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-05;LA PAZ;OF-11;MONITOR;PART-05;21010100002;CNE-FMT-1426;CN-0Y858D-72872-968-20WS;"MONITOR MARCA DELL LCD DE 19"" MOD. E1909Wf";BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-06;LA PAZ;OF-11;TECLADO;PART-06;21010100002;CNE-FTC-1426;CN-0DJ415-71616-954-009M;TECLADO MARCA DELL MOD. SK-8115 C.NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-07;LA PAZ;OF-11;TRIPODE;PART-01;21010100002;SIN CODIGO;-;TRIPODE DE CAMARA FOTOGRAFICA DE ALUMINIO C. PLOMO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-08;LA PAZ;OF-11;FUNJIBLE;PART-06;21010100002;SIN CODIGO;-;CABLE EXTENCION DE 6 MTS. C. AMARILLO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-09;LA PAZ;OF-11;MOUSE;PART-06;SIN CODIGO;SIN CODIGO;I0L06QTQ;MOUSE MARCA DELL MOD. DP/N:OXN967;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-04;ENTIDAD;31/3/2015;-
AF-10;LA PAZ;OF-11;UPS;PART-05;SIN CODIGO;BP 505713;-;UPS MARCA POWER MOD. SC 1000;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-11;LA PAZ;OF-11;IMPRESORA;PART-05;20505050441;SIN CODIGO;S6BK054927;IMPRESORA MARCA EPSON EXPRESSION MOD. XP-211;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-12;LA PAZ;OF-11;CPU;PART-05;SIN CODIGO;CNE-FPC-1610;H9ZFKK1;CPU MARCA DELL INTEL CORE 2 DUO 3M E7000, MEMORIA RAM. 2GB D. DURO 160 GB. MOD. OPTIPLEX 360;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-04;ENTIDAD;31/3/2015;-
AF-13;LA PAZ;OF-11;CATRE;PART-01;SIN CODIGO;SIN CODIGO;-;CATRERA METALICA 1 PLAZA CON COLCHON DE ESPONJA;REGULAR;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;CUARTO DE PORTERIA;E-03;POL;31/3/2015;-
AF-14;LA PAZ;OF-11;SILLA;PART-01;20301040126;SIN CODIGO;-;SILLON GIRATORIO SEMI EJECUTIVO CON APOYA BRAZOS Y TAPIZ DE TELA C. NEGRO;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-15;LA PAZ;OF-11;ESTUFA;PART-03;20303090027;SIN CODIGO;11-MGF-1343;ESTUFA MAGEFESA MODELO WARM SERIE 11-MGF-1343;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;JURÍDICA;E-01;ENTIDAD;31/3/2015;-
AF-16;LA PAZ;OF-11;LAPTOP;PART-05;20305030017;01-111-4312-01-0631;7Z5DYJ1;LAPTOP MARCA DELL INSPIRON MOD. PP41L;BUENO;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE;OPERACIONES;E-01;ENTIDAD;31/3/2015;-
