OFICINA_NO;DEPTO;COD_OFICINA;NOMBRE_OF;EMP_NO;UBICACION
OF-01;LA PAZ;1;PRINCIPAL LA PAZ;E-180;CALLE 6 Nº 70 PLANTA BAJA AV. CIVICA ZONA SANTA ROSA
OF-02;LA PAZ;2;ZONA SUR;E-204;CALLE EDUARDO SAINZ GARCIA Nº 1 ENTREGA AV. AREQUIPA ZONA LA FLORIDA
OF-03;LA PAZ;3;PRINCIPAL LA PAZ;E-68;CALLE BOLIVAR ENTRE AV. SUCRE Y CATACORA
OF-04;LA PAZ;3;PRINCIPAL LA PAZ;E-149;CALLE BOLIVAR ENTRE AV. SUCRE Y CATACORA
OF-05;LA PAZ;4;ACHACHICALA;E-100;ZONA ACHACHICALA
OF-06;LA PAZ;4;SEGELIC LA PAZ;E-101;CALLE MEXICO EDIF. CHUQUIAGO
OF-07;LA PAZ;5;SEGELIC EL ALTO;E-87;AV. JUAN PABLO II Nº 45 ESQ. CALLE 4 ZONA FERROPRETOL
OF-08;LA PAZ;6;CEJA EL ALTO;E-21;AV. JUAN PABLO II Nº 200 LADO TRANSITO
OF-09;LA PAZ;8;PACAJES CALUYO;E-103;CALLE 4 ESQ. CALLE F Y CALLE G ZONA PACAJES CALUYO DISTRITO 3
OF-10;LA PAZ;9;VIACHA;E-188;AV. INGAVI Nº S/N ENTRE AV. PANDO Y MURILLO
OF-11;LA PAZ;10;ACHACACHI;E-01;AV. MANCO KAPAC PLAZA DEL ESTUDIANTE
OF-12;LA PAZ;11;CARANAVI;E-08;CALLE BATALLON ROMAN II DE INGENIERIA PLAZA LIBERTAD
OF-13;LA PAZ;12;DIRECCION LA PAZ;E-75;CALLE BOLIVAR ENTRE AV. SUCRE Y CATACORA
